time,r_gripper_vel_norm
2.671000000000000263e+00,4.623970998790323805e-01
2.672000000000000153e+00,4.619207239036940416e-01
2.673000000000000043e+00,4.613895240448360746e-01
2.673999999999999932e+00,4.608110221630419834e-01
2.675000000000000266e+00,4.601921298051412368e-01
2.676000000000000156e+00,4.595391616692294234e-01
2.677000000000000046e+00,4.588577804922443493e-01
2.677999999999999936e+00,4.581530522385477422e-01
2.679000000000000270e+00,4.574295013551183953e-01
2.680000000000000160e+00,4.566911479195928103e-01
2.681000000000000050e+00,4.559415542275177535e-01
2.681999999999999940e+00,4.551160414492615991e-01
2.683000000000000274e+00,4.542974145737820879e-01
2.684000000000000163e+00,4.534863005483736331e-01
2.685000000000000053e+00,4.526823860386585130e-01
2.685999999999999943e+00,4.518856464663238981e-01
2.687000000000000277e+00,4.510962021788077481e-01
2.688000000000000167e+00,4.503138265203716073e-01
2.689000000000000057e+00,4.495386444844782781e-01
2.689999999999999947e+00,4.487708349147901399e-01
2.690999999999999837e+00,4.480106587405157104e-01
2.692000000000000171e+00,4.472584244696878875e-01
2.693000000000000060e+00,4.465145265502095673e-01
2.693999999999999950e+00,4.457794139241287312e-01
2.694999999999999840e+00,4.450535669867851651e-01
2.696000000000000174e+00,4.443375274122885465e-01
2.697000000000000064e+00,4.436318441000365320e-01
2.697999999999999954e+00,4.429370836411656298e-01
2.698999999999999844e+00,4.422538398465724052e-01
2.700000000000000178e+00,4.415827083518786833e-01
2.701000000000000068e+00,4.409241120365186006e-01
2.701999999999999957e+00,4.402061701677047467e-01
2.702999999999999847e+00,4.395143357921469929e-01
2.704000000000000181e+00,4.388465659967504817e-01
2.705000000000000071e+00,4.382007143218804024e-01
2.705999999999999961e+00,4.375749249058907275e-01
2.706999999999999851e+00,4.369676086674194049e-01
2.708000000000000185e+00,4.363774360587189260e-01
2.709000000000000075e+00,4.358033158847918753e-01
2.709999999999999964e+00,4.352443706995250960e-01
2.710999999999999854e+00,4.346999188940209868e-01
2.712000000000000188e+00,4.341694437820355357e-01
2.713000000000000078e+00,4.336525905243038825e-01
2.713999999999999968e+00,4.331491243393881807e-01
2.714999999999999858e+00,4.326589177700826405e-01
2.716000000000000192e+00,4.321819415426032540e-01
2.717000000000000082e+00,4.317182327016546584e-01
2.717999999999999972e+00,4.312678995750722222e-01
2.718999999999999861e+00,4.308310961446538134e-01
2.720000000000000195e+00,4.304080192647225522e-01
2.721000000000000085e+00,4.299989090800457325e-01
2.721999999999999975e+00,4.295281155108787163e-01
2.722999999999999865e+00,4.290838311974375929e-01
2.724000000000000199e+00,4.286635646965685220e-01
2.725000000000000089e+00,4.282647747766347712e-01
2.725999999999999979e+00,4.278852986671354830e-01
2.726999999999999869e+00,4.275233279520069818e-01
2.728000000000000203e+00,4.271773571120697222e-01
2.729000000000000092e+00,4.268461691992168072e-01
2.729999999999999982e+00,4.265288024304350611e-01
2.730999999999999872e+00,4.262245006847888984e-01
2.732000000000000206e+00,4.259327184584392190e-01
2.733000000000000096e+00,4.256530531795396644e-01
2.733999999999999986e+00,4.253852647216386229e-01
2.734999999999999876e+00,4.251292218499974629e-01
2.736000000000000210e+00,4.248848937239101398e-01
2.737000000000000099e+00,4.246523411065769582e-01
2.737999999999999989e+00,4.244316809846003236e-01
2.738999999999999879e+00,4.242231083795937607e-01
2.740000000000000213e+00,4.240268421997703263e-01
2.741000000000000103e+00,4.238431319385743690e-01
2.741999999999999993e+00,4.235934027349114728e-01
2.742999999999999883e+00,4.233684726606621873e-01
2.744000000000000217e+00,4.231663448523370619e-01
2.745000000000000107e+00,4.229844396893007730e-01
2.745999999999999996e+00,4.228206030173363161e-01
2.746999999999999886e+00,4.226730575687817626e-01
2.748000000000000220e+00,4.225403339604997810e-01
2.749000000000000110e+00,4.224212639343028486e-01
2.750000000000000000e+00,4.223149299693019221e-01
2.750999999999999890e+00,4.222206285920651614e-01
2.752000000000000224e+00,4.221378622112034185e-01
2.753000000000000114e+00,4.220662800687383642e-01
2.754000000000000004e+00,4.220056767303201894e-01
2.754999999999999893e+00,4.219559714717577847e-01
2.756000000000000227e+00,4.219171669985612994e-01
2.757000000000000117e+00,4.218893510227254007e-01
2.758000000000000007e+00,4.218726968118466925e-01
2.758999999999999897e+00,4.218674016489114553e-01
2.760000000000000231e+00,4.218737357075086902e-01
2.761000000000000121e+00,4.218919835649329042e-01
2.762000000000000011e+00,4.218400292148684616e-01
2.762999999999999901e+00,4.218122602996483006e-01
2.764000000000000234e+00,4.218061948996005839e-01
2.765000000000000124e+00,4.218190828664303282e-01
2.766000000000000014e+00,4.218487272722157844e-01
2.766999999999999904e+00,4.218933752659635994e-01
2.768000000000000238e+00,4.219516455862212800e-01
2.769000000000000128e+00,4.220224907939553183e-01
2.770000000000000018e+00,4.221051424043663070e-01
2.770999999999999908e+00,4.221990840871682749e-01
2.772000000000000242e+00,4.223039953639979860e-01
2.773000000000000131e+00,4.224197159311268157e-01
2.774000000000000021e+00,4.225462414282999402e-01
2.774999999999999911e+00,4.226836629413648350e-01
2.776000000000000245e+00,4.228321741950838430e-01
2.777000000000000135e+00,4.229920291901578255e-01
2.778000000000000025e+00,4.231635552339984563e-01
2.778999999999999915e+00,4.233471098510556696e-01
2.780000000000000249e+00,4.235430891058237779e-01
2.781000000000000139e+00,4.237519094108311846e-01
2.782000000000000028e+00,4.238858671205799622e-01
2.782999999999999918e+00,4.240451651583810877e-01
2.784000000000000252e+00,4.242272747272544664e-01
2.785000000000000142e+00,4.244291582695762788e-01
2.786000000000000032e+00,4.246484353461623673e-01
2.786999999999999922e+00,4.248832173991441974e-01
2.788000000000000256e+00,4.251320295462661658e-01
2.789000000000000146e+00,4.253937605081499207e-01
2.790000000000000036e+00,4.256676160512122831e-01
2.790999999999999925e+00,4.259530410932713673e-01
2.792000000000000259e+00,4.262497070653639142e-01
2.793000000000000149e+00,4.265574587034978715e-01
2.794000000000000039e+00,4.268762794022202822e-01
2.794999999999999929e+00,4.272062919607095277e-01
2.796000000000000263e+00,4.028080476620356509e-01
2.797000000000000153e+00,3.980452677372639525e-01
2.798000000000000043e+00,3.854332187275923971e-01
2.798999999999999932e+00,3.643763268154014967e-01
2.800000000000000266e+00,3.452131606429338362e-01
2.801000000000000156e+00,3.256927119186476260e-01
2.802000000000000046e+00,3.072868784783804319e-01
2.802999999999999936e+00,2.902015602874359890e-01
2.804000000000000270e+00,2.740031626291989375e-01
2.805000000000000160e+00,2.583877978885828486e-01
2.806000000000000050e+00,2.468707253635894217e-01
2.806999999999999940e+00,2.370085295299470818e-01
2.808000000000000274e+00,2.281285197060411163e-01
2.809000000000000163e+00,2.195375822861160564e-01
2.810000000000000053e+00,2.112569933202650962e-01
2.810999999999999943e+00,2.030803634953501358e-01
2.812000000000000277e+00,1.949802421187109003e-01
2.813000000000000167e+00,1.869542665065637710e-01
2.814000000000000057e+00,1.790361308627098358e-01
2.814999999999999947e+00,1.712638413622172007e-01
2.815999999999999837e+00,1.636681579486310156e-01
2.817000000000000171e+00,1.562837401679278149e-01
2.818000000000000060e+00,1.491502892639058053e-01
2.818999999999999950e+00,1.423118534249870892e-01
2.819999999999999840e+00,1.358207279898808739e-01
2.821000000000000174e+00,1.297350759577392265e-01
2.822000000000000064e+00,1.240184341957686620e-01
2.822999999999999954e+00,1.188805588774999172e-01
2.823999999999999844e+00,1.143739945857833312e-01
2.825000000000000178e+00,1.105607626200316718e-01
2.826000000000000068e+00,1.075063835707005394e-01
2.826999999999999957e+00,1.052709966822898274e-01
2.827999999999999847e+00,1.039032261763684906e-01
2.829000000000000181e+00,1.034378869229962139e-01
2.830000000000000071e+00,1.038895356169088902e-01
2.830999999999999961e+00,1.052506115602696163e-01
2.831999999999999851e+00,1.074925156730967141e-01
2.833000000000000185e+00,1.105686552089715918e-01
2.834000000000000075e+00,1.144197734413673756e-01
2.834999999999999964e+00,1.189789740550178249e-01
2.835999999999999854e+00,1.241535564825491655e-01
2.837000000000000188e+00,1.292066309862892615e-01
2.838000000000000078e+00,1.341493924680780825e-01
2.838999999999999968e+00,1.390104059845994333e-01
2.839999999999999858e+00,1.438278336678765201e-01
2.841000000000000192e+00,1.486402344872071457e-01
2.842000000000000082e+00,1.536895857824177869e-01
2.842999999999999972e+00,1.587571436470872621e-01
2.843999999999999861e+00,1.638524184136777584e-01
2.845000000000000195e+00,1.689830386117502359e-01
2.846000000000000085e+00,1.741549646678371976e-01
2.846999999999999975e+00,1.793729351335442423e-01
2.847999999999999865e+00,1.847263370154332285e-01
2.849000000000000199e+00,1.902080626915122752e-01
2.850000000000000089e+00,1.957898036992056778e-01
2.850999999999999979e+00,2.014510499847344260e-01
2.851999999999999869e+00,2.071772457929807743e-01
2.853000000000000203e+00,2.129584183943209474e-01
2.854000000000000092e+00,2.187880358837927530e-01
2.854999999999999982e+00,2.246621123239284923e-01
2.855999999999999872e+00,2.305785168561602927e-01
2.857000000000000206e+00,2.365364169727434962e-01
2.858000000000000096e+00,2.425358568699005624e-01
2.858999999999999986e+00,2.485774513168452493e-01
2.859999999999999876e+00,2.546621394241543324e-01
2.861000000000000210e+00,2.607910122560674893e-01
2.862000000000000099e+00,2.671523619148540307e-01
2.862999999999999989e+00,2.735214984255842641e-01
2.863999999999999879e+00,2.798928541613633358e-01
2.865000000000000213e+00,2.861703214105703608e-01
2.866000000000000103e+00,2.919862192865901873e-01
2.866999999999999993e+00,2.974119458731976362e-01
2.867999999999999883e+00,3.025182906628862134e-01
2.869000000000000217e+00,3.075273917449369843e-01
2.870000000000000107e+00,3.125945477964817698e-01
2.870999999999999996e+00,3.176375843920155595e-01
2.871999999999999886e+00,3.226415070370943772e-01
2.873000000000000220e+00,3.274375913463224430e-01
2.874000000000000110e+00,3.265735913606011565e-01
2.875000000000000000e+00,3.251216703664496221e-01
2.875999999999999890e+00,3.227758444865158616e-01
2.877000000000000224e+00,3.196497781252898296e-01
2.878000000000000114e+00,3.158486898869771187e-01
2.879000000000000004e+00,3.115118858007951408e-01
2.879999999999999893e+00,3.067145299871267272e-01
2.881000000000000227e+00,3.015397296854859799e-01
2.882000000000000117e+00,2.963707543899454788e-01
2.883000000000000007e+00,2.910211613989631130e-01
2.883999999999999897e+00,2.856354612609037780e-01
2.885000000000000231e+00,2.802544284810479791e-01
2.886000000000000121e+00,2.747230476784611186e-01
2.887000000000000011e+00,2.693084396383991219e-01
2.887999999999999901e+00,2.641031430938748370e-01
2.889000000000000234e+00,2.588986024763789695e-01
2.890000000000000124e+00,2.534228500726952715e-01
2.891000000000000014e+00,2.475471814286084316e-01
2.891999999999999904e+00,2.414322978491810212e-01
2.893000000000000238e+00,2.352097216211813391e-01
2.894000000000000128e+00,2.289297811143465033e-01
2.895000000000000018e+00,2.226332474860655553e-01
2.895999999999999908e+00,2.163556719099212489e-01
2.897000000000000242e+00,2.101296673452330566e-01
2.898000000000000131e+00,2.039849955172056972e-01
2.899000000000000021e+00,1.979593325442220164e-01
2.899999999999999911e+00,1.921366963801388050e-01
2.901000000000000245e+00,1.865060390954594582e-01
2.902000000000000135e+00,1.812466575663879143e-01
2.903000000000000025e+00,1.761559941460314471e-01
2.903999999999999915e+00,1.712858400599935327e-01
2.905000000000000249e+00,1.666377697651962586e-01
2.906000000000000139e+00,1.622148151928608784e-01
2.907000000000000028e+00,1.580310585746154406e-01
2.907999999999999918e+00,1.540810892947353794e-01
2.909000000000000252e+00,1.503517135756056999e-01
2.910000000000000142e+00,1.468295727810827733e-01
2.911000000000000032e+00,1.435031550328196570e-01
2.911999999999999922e+00,1.403628881502000936e-01
2.913000000000000256e+00,1.374012106527403854e-01
2.914000000000000146e+00,1.346106880209493595e-01
2.915000000000000036e+00,1.319835444465547736e-01
2.915999999999999925e+00,1.295123103599368219e-01
2.917000000000000259e+00,1.271902489124707714e-01
2.918000000000000149e+00,1.250091671294392970e-01
2.919000000000000039e+00,1.229501826673482096e-01
2.919999999999999929e+00,1.210113339085261003e-01
2.921000000000000263e+00,1.191899243105640355e-01
2.922000000000000153e+00,1.175870471684238999e-01
2.923000000000000043e+00,1.160527867904491139e-01
2.923999999999999932e+00,1.145964978654743782e-01
2.925000000000000266e+00,1.132103491803802403e-01
2.926000000000000156e+00,1.118899025726439594e-01
2.927000000000000046e+00,1.106305148634717517e-01
2.927999999999999936e+00,1.094286946265845967e-01
2.929000000000000270e+00,1.082817195211342454e-01
2.930000000000000160e+00,1.071870748786522692e-01
2.931000000000000050e+00,1.061423413978638680e-01
2.931999999999999940e+00,1.051464999994906890e-01
2.933000000000000274e+00,1.041981913664727505e-01
2.934000000000000163e+00,1.032969268712550237e-01
2.935000000000000053e+00,1.024425188895716349e-01
2.935999999999999943e+00,1.016345595719063133e-01
2.937000000000000277e+00,1.008726901808622844e-01
2.938000000000000167e+00,1.001569924959753860e-01
2.939000000000000057e+00,9.948764823541285385e-02
2.939999999999999947e+00,9.886486722029307062e-02
2.941000000000000281e+00,9.828889192275272468e-02
2.942000000000000171e+00,9.786453417728717408e-02
2.943000000000000060e+00,9.744958379195753362e-02
2.943999999999999950e+00,9.704914443344124508e-02
2.944999999999999840e+00,9.665817256633961463e-02
2.946000000000000174e+00,9.627495275457424728e-02
2.947000000000000064e+00,9.589781773384355168e-02
2.947999999999999954e+00,9.552678376716672304e-02
2.948999999999999844e+00,9.516273351669893299e-02
2.950000000000000178e+00,9.480719491022948642e-02
2.951000000000000068e+00,9.446210597328949521e-02
2.951999999999999957e+00,9.412967750913553422e-02
2.952999999999999847e+00,9.381228281299472394e-02
2.954000000000000181e+00,9.351229906174814144e-02
2.955000000000000071e+00,9.323209269414871325e-02
2.955999999999999961e+00,9.297386816955413580e-02
2.956999999999999851e+00,9.273968264624957158e-02
2.958000000000000185e+00,9.253133894037325613e-02
2.959000000000000075e+00,9.235043721019378649e-02
2.959999999999999964e+00,9.219827877698702490e-02
2.960999999999999854e+00,9.207590421003881975e-02
2.962000000000000188e+00,9.217528621371894049e-02
2.963000000000000078e+00,9.224057972859626975e-02
2.963999999999999968e+00,9.228346969025284785e-02
2.964999999999999858e+00,9.229616610842143742e-02
2.966000000000000192e+00,9.227598888999043181e-02
2.967000000000000082e+00,9.222273513712160586e-02
2.967999999999999972e+00,9.213826012228729101e-02
2.968999999999999861e+00,9.202633625798295469e-02
2.970000000000000195e+00,9.189067479686614803e-02
2.971000000000000085e+00,9.173619707172199489e-02
2.971999999999999975e+00,9.156830372260875428e-02
2.972999999999999865e+00,9.139253782459352826e-02
2.974000000000000199e+00,9.121441501308791278e-02
2.975000000000000089e+00,9.103925744614453641e-02
2.975999999999999979e+00,9.087212360524944688e-02
2.976999999999999869e+00,9.071773163457032274e-02
2.978000000000000203e+00,9.058041075040788870e-02
2.979000000000000092e+00,9.046408693051613548e-02
2.979999999999999982e+00,9.037226845929438590e-02
2.980999999999999872e+00,9.030805441102074393e-02
2.982000000000000206e+00,9.055034584396001729e-02
2.983000000000000096e+00,9.070728624826719655e-02
2.983999999999999986e+00,9.080420052620655214e-02
2.984999999999999876e+00,9.082526843702100339e-02
2.986000000000000210e+00,9.076456247062279770e-02
2.987000000000000099e+00,9.062121431050043641e-02
2.987999999999999989e+00,9.039854049190083896e-02
2.988999999999999879e+00,9.010291685160934372e-02
2.990000000000000213e+00,8.974289052938964895e-02
2.991000000000000103e+00,8.932854203399587245e-02
2.991999999999999993e+00,8.887085800818672610e-02
2.992999999999999883e+00,8.838131140025551336e-02
2.994000000000000217e+00,8.787100583557093392e-02
2.995000000000000107e+00,8.735196439357111042e-02
2.995999999999999996e+00,8.683528476087853942e-02
2.996999999999999886e+00,8.633148124678152735e-02
2.998000000000000220e+00,8.585043628972939544e-02
2.999000000000000110e+00,8.540134747601768606e-02
3.000000000000000000e+00,8.499270308835261967e-02
3.000999999999999890e+00,8.463228831662941709e-02
3.002000000000000224e+00,8.666325593868666466e-02
3.003000000000000114e+00,8.820931059707350086e-02
3.004000000000000004e+00,8.913113273050377039e-02
3.004999999999999893e+00,8.933654931783718833e-02
3.006000000000000227e+00,8.877592878592865944e-02
3.007000000000000117e+00,8.744875427001488899e-02
3.008000000000000007e+00,8.539467952973461840e-02
3.008999999999999897e+00,8.268617372668453369e-02
3.010000000000000231e+00,7.942120808060804116e-02
3.011000000000000121e+00,7.571623304752059247e-02
3.012000000000000011e+00,7.169945621703485705e-02
3.012999999999999901e+00,6.750537984572456407e-02
3.014000000000000234e+00,6.326822783582132514e-02
3.015000000000000124e+00,5.911611526751112816e-02
3.016000000000000014e+00,5.516402912218935223e-02
3.016999999999999904e+00,5.150593083727114663e-02
